Marital status,Application mode,Application order,Gender,Age at enrollment,Course,Course Name,Daytime/evening attendance,Previous qualification,Previous qualification (grade out of 200),Nationality Name,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Scholarship holder,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Student_Success
single,2nd phase - general contingent,4,female,19.0,9500,Nursing,daytime,Secondary education,140.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Installation and Machine Operators and Assembly Workers,133.3,yes,no,no,yes,no,no,0,7,7,6,11.96666667,0,0,7,7,6,11.96666667,0,7.6,2.6,0.32,Graduate
single,1st phase - general contingent,1,male,18.0,9773,Journalism and Communication,daytime,Secondary education,140.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,132.0,no,no,no,yes,yes,no,0,6,6,5,12.0,0,0,6,6,6,12.83333333,0,12.7,3.7,-1.7,Graduate
single,2nd phase - general contingent,1,female,20.0,9773,Journalism and Communication,daytime,Secondary education,144.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Administrative staff,130.7,yes,no,no,yes,no,no,0,6,9,6,11.66666667,0,0,6,8,5,11.6,0,7.6,2.6,0.32,Enrolled
single,Holders of other higher courses,1,female,34.0,9085,Veterinary Nursing,daytime,Higher education - degree,130.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Armed Forces Professions,130.0,no,no,no,yes,no,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,Dropout
single,3rd phase - general contingent,3,male,19.0,9070,Communication Design,daytime,Secondary education,142.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",130.8,yes,no,no,no,no,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout
married,Over 23 years old,1,female,37.0,9003,Agronomy,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Armed Forces Professions,120.0,no,no,yes,yes,no,no,0,6,10,6,12.875,0,0,6,12,6,12.9,0,16.2,0.3,-0.92,Enrolled
divorced,Over 23 years old,1,male,37.0,8014,Social Service (evening attendance),evening,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",143.0,no,no,no,yes,no,no,3,9,13,8,12.0,0,2,7,8,7,11.57142857,0,12.7,3.7,-1.7,Graduate
single,2nd phase - general contingent,2,female,19.0,9238,Social Service,daytime,Secondary education,145.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",128.6,yes,no,no,yes,yes,no,0,6,12,5,11.71428571,0,0,6,11,6,11.0,0,12.7,3.7,-1.7,Graduate
married,2nd phase - general contingent,3,female,18.0,8014,Social Service (evening attendance),evening,Secondary education,123.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,113.2,no,no,yes,no,no,no,0,6,9,3,10.66666667,0,0,6,12,0,0.0,0,7.6,2.6,0.32,Dropout
married,Over 23 years old,1,male,41.0,9991,Management (evening attendance),evening,Secondary education,100.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,125.3,yes,no,no,yes,no,no,0,5,8,4,11.25,0,0,5,8,3,11.0,1,7.6,2.6,0.32,Dropout
single,1st phase - general contingent,1,male,19.0,9147,Management,daytime,Secondary education,128.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Specialists in Intellectual and Scientific Activities,Armed Forces Professions,116.5,no,no,no,yes,no,no,0,5,8,2,10.0,0,0,5,8,1,16.0,0,7.6,2.6,0.32,Dropout
married,1st phase - general contingent,1,female,19.0,9500,Nursing,daytime,Secondary education,137.0,Portuguese,Higher Education - Bachelor's Degree,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,Administrative staff,121.0,no,no,no,yes,yes,no,0,8,8,7,14.72571429,0,0,8,8,7,14.72571429,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,1,female,18.0,171,Animation and Multimedia Design,daytime,Secondary education,174.0,Portuguese,Higher Education (Doctorate),Higher Education - Bachelor's Degree,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,157.9,no,no,no,yes,no,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,4,female,18.0,9500,Nursing,daytime,Secondary education,140.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",127.5,no,no,no,yes,no,no,0,7,0,0,0.0,0,0,8,0,0,0.0,0,12.7,3.7,-1.7,Dropout
single,Change of institution/course,1,female,21.0,9991,Management (evening attendance),evening,Secondary education,141.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",100.0,no,no,no,yes,no,no,1,5,9,4,11.5,0,1,5,5,5,11.4,0,8.9,1.4,3.51,Graduate
single,2nd phase - general contingent,1,female,19.0,9254,Tourism,daytime,Secondary education,102.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",102.0,no,no,no,yes,no,no,0,6,8,5,11.8,0,0,6,8,5,11.6,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,4,female,19.0,9500,Nursing,daytime,Secondary education,132.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",121.8,yes,no,no,yes,yes,no,0,8,8,7,13.6,0,0,8,8,7,13.6,0,12.7,3.7,-1.7,Graduate
single,3rd phase - general contingent,1,male,21.0,9085,Veterinary Nursing,daytime,Secondary education,106.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",104.6,no,no,no,no,no,no,0,6,10,5,14.0,0,0,6,11,4,14.8,0,11.1,0.6,2.02,Enrolled
single,1st phase - general contingent,6,male,20.0,9147,Management,daytime,Secondary education,121.0,Portuguese,Higher Education - Bachelor's Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",116.8,no,no,no,yes,no,no,0,5,14,3,12.4,0,0,5,8,5,10.83333333,0,13.9,-0.3,0.79,Enrolled
single,Change of course,3,female,21.0,171,Animation and Multimedia Design,daytime,Secondary education,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",143.4,yes,no,no,yes,no,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
single,2nd phase - general contingent,2,female,19.0,9085,Veterinary Nursing,daytime,Secondary education,138.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",123.3,yes,no,no,yes,no,no,0,5,15,3,14.0,3,0,5,10,4,11.75,1,9.4,-0.8,-3.12,Enrolled
single,1st phase - general contingent,4,male,18.0,9147,Management,daytime,Secondary education,120.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",122.8,yes,no,no,yes,no,no,0,5,6,4,11.5,0,0,5,12,2,10.33333333,0,10.8,1.4,1.74,Enrolled
single,1st phase - general contingent,1,female,19.0,9773,Journalism and Communication,daytime,Secondary education,128.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",118.2,no,no,no,yes,no,no,0,6,6,6,11.66666667,0,0,6,6,6,11.5,0,12.7,3.7,-1.7,Graduate
